t1.bmp,63.96340617
t2.bmp,25.33530641
t3.bmp,48.93656326
t4.bmp,35.88633194
t5.bmp,66.50923667
t6.bmp,54.57970003
t7.bmp,77.88214784
100.bmp,32.56107532
101.bmp,66.35954917
102.bmp,44.69498452
103.bmp,39.23455873
104.bmp,9.229073799
105.bmp,41.33135142
106.bmp,68.92207631
107.bmp,27.95753374
108.bmp,75.35151515
109.bmp,50.63793103
10.bmp,82.91071429
110.bmp,32.13690476
111.bmp,51.84153005
112.bmp,30.31875
113.bmp,68.21714286
114.bmp,24.87113402
115.bmp,31.29378531
116.bmp,26.09770115
117.bmp,70.43274854
118.bmp,26.5308642
119.bmp,51.31707317
11.bmp,60.94728916
120.bmp,18.78488372
121.bmp,19.75
122.bmp,79.36708861
123.bmp,67.29775281
124.bmp,70.99459459
125.bmp,81.90502793
126.bmp,52.84302326
127.bmp,41.42690058
128.bmp,48.8136646
129.bmp,72.88268156
12.bmp,15.8952381
130.bmp,86.60869565
131.bmp,48.52903226
132.bmp,73.02590674
133.bmp,27.00571429
134.bmp,32.30898876
135.bmp,65.94300518
136.bmp,67.16315789
137.bmp,59.84210526
138.bmp,67.58695652
139.bmp,61.92857143
13.bmp,77.40229885
140.bmp,77.45833333
141.bmp,20.58181818
142.bmp,26.40571429
143.bmp,61.14948454
144.bmp,76.92391304
145.bmp,55.5923913
146.bmp,34.21118012
147.bmp,71.32335329
148.bmp,41.97076023
149.bmp,72.45744681
14.bmp,66.39411765
150.bmp,65.79617834
151.bmp,55.77922078
152.bmp,79.43786982
153.bmp,73.0880829
154.bmp,11.97714286
155.bmp,73.63905325
156.bmp,28.51282051
157.bmp,17.51923077
158.bmp,79.41666667
159.bmp,73.83443709
15.bmp,56.39896373
160.bmp,41.34705882
161.bmp,8.246835443
162.bmp,70.6375
163.bmp,46.36942675
164.bmp,80.5
165.bmp,71.86338798
166.bmp,49.79581152
167.bmp,75.17777778
168.bmp,65.4180791
169.bmp,30.1091954
16.bmp,77.60215054
170.bmp,60.28795812
171.bmp,25.13636364
172.bmp,63.04522613
173.bmp,74.54066986
174.bmp,72.91
175.bmp,74.36477987
176.bmp,61.34536082
177.bmp,58.43010753
178.bmp,53.70238095
179.bmp,66.10843373
17.bmp,61.4619883
180.bmp,39.41340782
181.bmp,29.12820513
182.bmp,52.63131313
183.bmp,23.01212121
184.bmp,67
185.bmp,56.46994536
186.bmp,49.80769231
187.bmp,28.71195652
188.bmp,28.95953757
189.bmp,46.05376344
18.bmp,64.55191257
190.bmp,31.7294686
191.bmp,46.47474747
192.bmp,35.48351648
193.bmp,74.66081871
194.bmp,26.66666667
195.bmp,69.1840796
196.bmp,61.78888889
197.bmp,55.48235294
198.bmp,78.51724138
199.bmp,66.2122905
19.bmp,30.93604651
200.bmp,9.139072848
201.bmp,49.5
202.bmp,24.51515152
203.bmp,50.99441341
204.bmp,75.48170732
205.bmp,77.95977011
206.bmp,72.59090909
207.bmp,43.66863905
208.bmp,53.84146341
209.bmp,52.29069767
20.bmp,76.38541667
210.bmp,70.54210526
211.bmp,42.68604651
212.bmp,61.71264368
213.bmp,13.11392405
214.bmp,73.11111111
215.bmp,57.19135802
216.bmp,75.17901235
217.bmp,68.14723926
218.bmp,67.98850575
219.bmp,48.80346821
21.bmp,53.02061856
220.bmp,67.28220859
221.bmp,84.16022099
222.bmp,59.2565445
223.bmp,68.31125828
224.bmp,14.63829787
225.bmp,64.05294118
226.bmp,49.47567568
227.bmp,72.70760234
228.bmp,41.1
229.bmp,57.66666667
22.bmp,52
230.bmp,43.24712644
231.bmp,45.37106918
232.bmp,81.76878613
233.bmp,81.25555556
234.bmp,64.68062827
235.bmp,53.15243902
236.bmp,30.98305085
237.bmp,68.82432432
238.bmp,59.03184713
239.bmp,3.497584541
23.bmp,77.11392405
240.bmp,53.08
